Frodo: 1171
Enemy. Indeed: 1
Sunless Year: 1
Him! He: 1
Denethor. The: 1
Sunlands: 1
December: 1
Southward Road: 1
Eastfold: 1
Gluin! It: 1
Jolly Cotton: 1
Boromir. His: 1
Nazgyl. He: 1
Carrock. At: 1
Dimholt. But: 1
Front Porch: 1
Sancho Proudfoot: 1
Master Gandalf: 1
Quickbeam. And: 1
Unexpected Party: 1
Last Stage: 1
Rauros. But: 1
Brown: 1
Maggot. On: 1
Fords. Long: 1
Gondor. Fair: 1
Men, Legolas: 1
Enemy. Bless: 1
Near: 1
Cousin Brandybuck: 1
Pelennor. And: 1
Precious? How: 1
Chetwood. Lying: 1
Free Lords: 1
Merry. But: 1
Caradhras. He: 1
Somebody: 1
Bergil Beregond: 1
Earth. At: 1
Master Merry: 1
All Birds: 1
Gate. No: 1
Host: 1
Barrows. He: 1
Wood! She: 1
Whitfurrows: 1
Night! Fair: 1
Wilderness: 1
Gimli. For: 1
Gondor. Choose: 1
Sam. Frodo: 1
The Fall: 1
Sam. That: 1
Sam Ford: 1
Dwarves. But: 1
Causeway Forts: 1
Ithilien. But: 1
Nori. Poor: 1
Coomb. The: 1
Lorien: 1
Front: 1
Ithilien. Green: 1
Ladyship? When: 1
Great Wood: 1
Company. Yet: 1
Citadel. The: 1
Exiles: 1
Green Hill: 1
Calacirian: 1
Elves? Very: 1
Edoras. Saruman: 1
East, South: 1
Woodhall. It: 1
Midgewater: 1
Argeleb: 1
Mighty: 1
Long List: 1
River. It: 1
Shadowfax: Shadowfax: 1
Iorlas. Still: 1
Overhill: 1
Boromir. And: 1
Naught: 1
Mordor! But: 1
Took Line: 1
Frodo. All: 1
Far Harad: 1
Ashen Mountains: 1
Gollum. Therefore: 1
Council. We: 1
Gorhendad Oldbuck: 1
Wilderland. Frodo: 1
Fangorn, Gimli: 1
Precious? It: 1
City. And: 1
Men. Seven: 1
Gol: 1
Uin. We: 1
Bridge. There: 1
Northern Fences: 1
Rivendell, Mr: 1
Seven Seeing: 1
Harad. Curse: 1
Horsemaster. Long: 1
Gate? Or: 1
Sorrow: 1
Long Winter: 1
Biter: 1
Dym: 1
Elf. Think: 1
Wormtongue. His: 1
Faramir, Prince: 1
Stormcrow: 1
Holiday: 1
Breelanders: 1
Bonfire: 1
Folcwine: 1
Pilgrim Grey: 1
Chetwood. The: 1
Aldor: 1
Riders. And: 1
Baggins! It: 1
Worm. Eorl: 1
The Old: 1
Firstborn. He: 1
Galathilion: 1
Pony. Barliman: 1
Evernight: 1
Grubb: 1
Blue: 1
Sam, Sam: 1
Hidden Land: 1
Withywindle. The: 1
Crickhollow. He: 1
Boromir! From: 1
Rule: 1
Moria. He: 1
Trees! But: 1
Gates. Come: 1
Party Business: 1
Took, Peregrin: 1
North! Was: 1
Wizards. They: 1
Leaf: 1
Derndingle: 1
Mistress Lobelia: 1
Rammas. All: 1
Anduin. But: 1
Eldar: 1
Winding Stair: 1
Mistress: 1
Isengarders. One: 1
Precious. The: 1
Thorin. And: 1
River Silverlode: 1
Shire. Whether: 1
Pheriannath: 1
Strider. The: 1
Lobelia. Pippin: 1
Galadhrim! And: 1
Moon! And: 1
Shire. And: 1
Gondor. This: 1
Entmoot. You: 1
Bilbo. Now: 1
Thengel, King: 1
Dreamflower. Ah: 1
Hobbiton. He: 1
Black Pits: 1
Widow Rumble: 1
Better Smials: 1
Great Lands: 1
Stormcrow? Tell: 1
Hill. Frodo: 1
Gorbadoc: 1
Curtain: 1
Silvan Elves: 1
Elf. But: 1
Mordor Sam: 1
Mad: 1
Haunted: 1
Boffins. Outside: 1
Smials. Anyone: 1
Ents. But: 1
Dunharrow. But: 1
Shire. We: 1
Elvish Folk: 1
Prologue: 1
Sale: 1
Coomb. Then: 1
Tarlang: 1
Bolgers, Hornblowers: 1
West. And: 1
Thainship: 1
King. Merry: 1
Fire. Even: 1
Mark, Thjoden: 1
Citadel. Step: 1
Smjagol. Poor: 1
Guard! This: 1
Speech: 1
Lockholes. They: 1
Last Shore: 1
Elrond. All: 1
Rock. Together: 1
Stewardship: 1
Ring! Is: 1
Fire. Ever: 1
Bilbo. That: 1
Messengers: 1
Hedge. After: 1
Sam. As: 1
Fatty! At: 1
Westfold. But: 1
East. Yet: 1
Outside: 1
Axe: 1
Your Magnificence: 1
Bucklebury. Not: 1
King! Farewell: 1
Western Lands: 1
Thjoden. He: 1
Gimli. The: 1
Nine Companions: 1
Saruman. He: 1
City. He: 1
Tower. Down: 1
Sleeping: 1
Forgoil! Death: 1
Despair: 1
Thranduil! Too: 1
Sword Reforged: 1
Three. But: 1
Bree. They: 1
Mark. He: 1
Causeway, Merry: 1
Elrond. Frodo: 1
Dwarves. They: 1
Seven Rivers: 1
Mountain. From: 1
Frodo. When: 1
Strider. He: 1
Whitwell: 1
At: 1
Ring. Though: 1
River! Ride: 1
Guarded City: 1
Jomer King: 1
Fairbairns, Wardens: 1
Moria. Speak: 1
Bywater. But: 1
Telperion: 1
Winter. We: 1
Lobelia. Poor: 1
Great Jewel: 1
Elendil! Elendil: 1
Pinnath: 1
Men! Smjagol: 1
Isengard. Partly: 1
South. Your: 1
Farewell: 1
Three Purposes: 1
Battle Plain: 1
Tower. Though: 1
Iron: 1
One Enemy: 1
Sun. Fire: 1
Pippin! What: 1
Gandalf. Come: 1
Moneybags: 1
Mountains. Not: 1
Nameless. Some: 1
Throne. Nearer: 1
Carrock. But: 1
Nardol: 1
Imladris. Elrond: 1
Underharrow: 1
April. It: 1
Vale. That: 1
Captain Shagrat: 1
Emyn Arnen: 1
Ring, Frodo: 1
Healing. And: 1
Pippin. Sam: 1
Entwash. And: 1
East. Not: 1
Aragorn. Presently: 1
Ambaruna: 1
Thjoden. Five: 1
East Where: 1
Gondor. Had: 1
Earth: 1
Hobbiton. Sam: 1
Meriadoc Brandybuck: 1
Aragorn. Pippin: 1
Glamdring, Foe: 1
Riders. But: 1
Town Hole: 1
Fallen: 1
Mortals: 1
Mark. So: 1
Fangorn. Slowly: 1
Ring. This: 1
Smaug. One: 1
Citadel. Yet: 1
News! Tell: 1
Realm! Behold: 1
Enemy. They: 1
Tom, Jolly: 1
Pippin, Gandalf: 1
North. Lone: 1
Northerland: 1
What: 1
Arathorn. The: 1
Gandalf. You: 1
Westernesse. It: 1
East. Such: 1
Bird: 1
Land Beyond: 1
Gollum! Snakes: 1
Black One: 1
Ivy Bush: 1
Arod Legolas: 1
Aragorn. Stooping: 1
Mark. The: 1
Borgil: 1
Strawheads! Death: 1
South. Before: 1
Pippin? They: 1
Writer: 1
Ted. There: 1
Secret Fire: 1
Mordor, Sam: 1
River Withywindle: 1
Saruman! Remember: 1
Wandering: 1
Wall. If: 1
Balin. Long: 1
Elephants: 1
Morning. And: 1
Gondor. Now: 1
Weathertop. While: 1
Arwen Evenstar: 1
Gandalf. His: 1
Wormtongue. Though: 1
Morning: 1
Bree. And: 1
Southfarthing. It: 1
Smjagol. Dust: 1
Black Master: 1
Rohan. Do: 1
Tom. It: 1
Ringlu: 1
Names: 1
Anurien. The: 1
Bilbo. Frodo: 1
Smjagol! What: 1
Short Rest: 1
Ents! Until: 1
Sam. Their: 1
Tunnelly: 1
Mark? Alas: 1
Belladonna: 1
Shirefolk: 1
Years! Speed: 1
Elrond. It: 1
House. Again: 1
Silmarils: 1
Moon. The: 1
Written: 1
Hador: 1
Rory Brandybuck: 1
Folco Boffin: 1
Edain: 1
Frodo, Merry: 1
Arnach: 1
Rivendell. There: 1
Boromir! It: 1
Shire: We: 1
Bree. Even: 1
Boromir? Why: 1
Frjawine: 1
Legolas. That: 1
Orcs. Maybe: 1
Free Fair: 1
Gondor, Steward: 1
Fell Riders: 1
Erui: 1
Gimli. But: 1
Shadow, Peregrin: 1
Gracious: 1
Rushlight: 1
Shirriffs Frodo: 1
Azog: 1
Reunited Kingdom: 1
Morgai. With: 1
Gate! Farewell: 1
Moria. Those: 1
City. Welcome: 1
Moria. Will: 1
Butterbur. Only: 1
North? We: 1
Treebeard? We: 1
Grey Host: 1
Mount Fang: 1
Wizards: Wizards: 1
Dior: 1
Boom: 1
Dior Thingol: 1
Causeway. Together: 1
Great Siege: 1
Ancient: 1
Meduseld. Many: 1
Lockholes. One: 1
Authorities: 1
Tower Hall: 1
Wargs. Gandalf: 1
Gaffer! Are: 1
Imlad: 1
Odo Proudfoot: 1
Endless Stair: 1
Still: 1
Second Gate: 1
Gate? Dwarves: 1
Ufthak? We: 1
Arwen Undumiel: 1
Smials: 1
Frodo. Bilbo: 1
Rohan? Maybe: 1
Saruman. Do: 1
Edoras. There: 1
Time: 1
The Lords: 1
Mutton: 1
Gilrain: 1
Erkenbrand. Some: 1
Rohan. We: 1
Gondor. Who: 1
Good Morning: 1
Mount Everwhite: 1
Old Moria: 1
Legolas. Gimli: 1
Inside Work: 1
Rivendell. Elrond: 1
Tearing: 1
Gate. Many: 1
Gandalf, Bilbo: 1
Stars. Upon: 1
Story: 1
Boromir! But: 1
Rings. But: 1
Elf. He: 1
Encircling Mountains: 1
April. We: 1
Waymeet. And: 1
Frodo. Then: 1
Adventure: 1
Ancient Speech: 1
Nindalf: 1
Road. Sam: 1
Entwash Vale: 1
Blanco: 1
Silvan: 1
Mithrandir. Many: 1
Third Ring: 1
Wise. For: 1
Carchost: 1
Bilbo. Also: 1
Sea. It: 1
The Mountain: 1
Second Hall: 1
Muil. But: 1
Sea. If: 1
Gorgor: 1
Gondor. When: 1
Day, Shire: 1
Christmas: 1
Calaciryo: 1
Rohan. The: 1
Lost Isle: 1
First Deep: 1
Gate. Curses: 1
Riddle Game: 1
Dreadful? This: 1
Master. As: 1
Tall Men: 1
Trespassing: 1
Mirkwood. We: 1
Flammifer: 1
Pool Side: 1
Crown: 1
Galadhon: 1
Celos: 1
Isengard. Hasufel: 1
Forest! That: 1
Gondor. Merry: 1
West Road: 1
Thorin? They: 1
Gimli Gluin: 1
Fell Winter: 1
Silverlode. Together: 1
Araw: 1
Running. The: 1
Westfolders: 1
Saruman. But: 1
Sea. Here: 1
Gate. Great: 1
Bilbo. The: 1
Bridge Inn: 1
Here: 1
Glamdring. Behind: 1
Foreword: 1
Hero: 1
Dwarves. Of: 1
Sun. Then: 1
Edoras. Appoint: 1
Jewel: 1
Pippin. Frodo: 1
Bond: 1
Rivendell. For: 1
Muil: 1
Bree! What: 1
Baggins. Bungo: 1
Rock. And: 1
App: 1
Clouds: 1
Council. On: 1
Elves. Gimli: 1
Tall Warden: 1
Marigold: 1
Jomer. But: 1
Shire. Can: 1
Angmar. But: 1
Treegarth: 1
Riddermark, Rohan: 1
Mere: 1
Five Hobbits: 1
Come: 1
Halflings! Though: 1
Rosie, Rose: 1
Tombs: 1
Udyn. Go: 1
Nameless Pass: 1
Steward? And: 1
Farmer: 1
Bill. It: 1
Entwash. They: 1
Legolas. Can: 1
Elessar, Isildur: 1
Noakes: 1
City Wall: 1
Orcs. Even: 1
Great House: 1
Bain: 1
City. For: 1
Sea. To: 1
Dwarrowdelf: 1
Proudfoots. Some: 1
Boromir. Does: 1
Shirriffing: 1
Entish. That: 1
Samwise Gamgee: 1
Dorthonion: 1
City. My: 1
Steward. But: 1
House. Has: 1
Strider. Well: 1
Ravenhill. On: 1
Derufin: 1
Gluin. That: 1
Lurien! Too: 1
East. Far: 1
Moria. Indeed: 1
Eagles! The: 1
Calacirya: 1
Gondor. He: 1
Dwarrowdelf. And: 1
Dwarves. Hobbits: 1
Gollum! Eat: 1
Sea. Darkness: 1
Gates. Already: 1
All: 1
Lampwrights: 1
Old Noakes: 1
Mountain, Thror: 1
Gandalf, Gandalf: 1
Tirith. It: 1
Meriadoc! Yet: 1
Anduin. The: 1
Hornburg. Depart: 1
July: 1
Sea! Alas: 1
Gandalf. Tom: 1
Last Mountain: 1
Lebennin. There: 1
Fair? He: 1
Great Willow: 1
Mountain. At: 1
Frodo. But: 1
Orcs. They: 1
Travellers: 1
Roheryn: 1
War. The: 1
The Precious: 1
The Day: 1
Mist: 1
Gandalf! And: 1
Faerie: 1
Tumbaletaurla Lumlanor: 1
Gollum. Frodo: 1
Stair Falls: 1
Great? The: 1
Elendil! The: 1
Merry, Pippin: 1
South Africa: 1
Elf, Legolas: 1
Ered: 1
Men. Far: 1
Hornburg. Near: 1
Entwives. We: 1
Barliman. All: 1
Healers: 1
Ring? The: 1
Rider! Gandalf: 1
Men? That: 1
Chief Shirriff: 1
Galadriel. For: 1
Grip: 1
Holdwine: 1
Frodo! You: 1
Tirith. Few: 1
Rauros. There: 1
Ring, Isildur: 1
Bridge. The: 1
Dimholt. There: 1
Celeborn. Her: 1
Elder People: 1
Forest. Then: 1
Boromir. In: 1
Gladden River: 1
Nicotiana: 1
Sam. They: 1
Gimli. Then: 1
Telcontar: 1
Saruman. As: 1
Fangorn. Thus: 1
Mordor. Darkness: 1
Bilbo. Just: 1
Denethor. And: 1
Old Toby: 1
Bruinen. But: 1
Shadowfax. Your: 1
Blue Mountains: 1
New Moon: 1
Happy Returns: 1
News: 1
Mordor. Why: 1
Iron Crown: 1
Four: 1
Valandil: 1
Flourdumpling: 1
Pippin. But: 1
Mymak: 1
January: 1
Pip: 1
Gondor, Gondor: 1
Denethor, Lord: 1
Two Watchers: 1
River. That: 1
War. But: 1
Man, Aragorn: 1
Baggins. All: 1
Pelennor. Then: 1
Bree! That: 1
Beregond Faramir: 1
Hobbiton. And: 1
Westmarch. That: 1
Barrow. At: 1
Mr. Invisible: 1
Pippin. Strider: 1
South. Some: 1
Wandlimb: 1
Orcses. Nice: 1
Pippin Took: 1
Healers. But: 1
Brandywine. If: 1
Gandalf. What: 1
North, Riders: 1
Mordor. It: 1
Denethor? But: 1
Smallburrow: 1
Thengel. Never: 1
Book Five: 1
Valandil Isildur: 1
Burrowses, Bolgers: 1
Dominion: 1
Bamfurlong: 1
North. They: 1
December. The: 1
Ithilien. For: 1
Internet: 1
Black Wings: 1
South. The: 1
Falls. They: 1
Howe: 1
So: 1
Tauremorna: 1
End. And: 1
Thorin Thrain: 1
King Bard: 1
Barrow. That: 1
Horsemen: 1
Mirkwood. As: 1
Orodruin. All: 1
Khand. Southrons: 1
Ring! He: 1
Quest? Little: 1
Fili So: 1
Diary. My: 1
Cormallen. And: 1
Kindler, Varda: 1
Rose. Half: 1
Rangers. Haven: 1
Company. For: 1
Mordor. These: 1
Chief. It: 1
Men? Would: 1
Place: 1
Rowlie Appledore: 1
Thorin Was: 1
Orcs. Poor: 1
West. Some: 1
Elves. It: 1
Stone. And: 1
Gladden: 1
Nbli: 1
Bilbo, Frodo: 1
Rory: 1
The Ivy: 1
Valimar: 1
Ring. It: 1
Tower. As: 1
Ent. You: 1
Bp: 1
One. The: 1
Mithrandir. Presently: 1
Little: 1
South. But: 1
Bane. Of: 1
Lurien! The: 1
Underworld: 1
Thjoden, King: 1
Feast. But: 1
Precious. We: 1
Sauron. It: 1
Moria. Behold: 1
Tirith. They: 1
Harrowdale. Merry: 1
Grnma! Always: 1
Gollum. Only: 1
Remmirath: 1
Gate. Let: 1
Mindolluin. It: 1
Unseen: 1
Boromir? The: 1
Museum: 1
Elfstone, Elessar: 1
North. For: 1
Forest. In: 1
Dwalin. They: 1
Moria! It: 1
Doorward: 1
Brownlock: 1
Muzgash: 1
Lord. Refuse: 1
Great Bridge: 1
Beer: 1
Halfling. These: 1
Shire. Bill: 1
Westfold. Down: 1
Expert Treasure: 1
Bombur! May: 1
Goodbodies: 1
Rhosgobel: 1
Mr. Boffin: 1
Pippin. It: 1
Imloth Melui: 1
Stock. But: 1
Tauremornaluml: 1
Grey Wood: 1
Gollum. Laying: 1
Bunce: 1
Baggins. And: 1
Ancalima: 1
Gate Erkenbrand: 1
King? Will: 1
Rings. Yes: 1
Ben: 1
Dwarves. This: 1
Gollum, Frodo: 1
Fengel: 1
Mindolluin. Shadow: 1
Up. First: 1
City, Merry: 1
Orkish: 1
Frying: 1
Rose Cotton: 1
Pippin. So: 1
Kill: 1
Gondor, Riders: 1
Tra: 1
Springle: 1
Ship: 1
Jomer. The: 1
Prancing Pony: 1
Gold: 1
Golf: 1
Dunharrow. One: 1
Council. His: 1
East. Still: 1
Glorfindel. He: 1
Samwise. But: 1
Mr. Pippin: 1
Tookland: 1
Ranger. No: 1
Water. My: 1
Elrond. But: 1
Elendil, Aiglos: 1
Eorl! Foes: 1
Gluin. Far: 1
Haysend: 1
Varda: 1
Wise. Your: 1
Mrs. Maggot: 1
Merry. Then: 1
King! The: 1
Gandalf. And: 1
Faramir, Steward: 1
Lake Evendim: 1
Calembel: 1
Enemy! For: 1
Gljowine: 1
Frodo. Beside: 1
Nimbrethil: 1
South Road: 1
Gandalf? In: 1
Wain: 1
Wraiths. Lord: 1
Sun. Suddenly: 1
Banks: 1
Rohan. In: 1
Gondor. For: 1
Took. Wiser: 1
Men. There: 1
Great Danger: 1
Brandywine. He: 1
Men. Legolas: 1
Rohan. It: 1
Frodo, Pippin: 1
Mountain, Erebor: 1
Pickthorn: 1
Flame: 1
Hold. The: 1
King, Thjoden: 1
Year One: 1
Quest. Ours: 1
Eldest: 1
Downs. They: 1
Eilenach: 1
Eorlingas! Fear: 1
Gandalf. Thursday: 1
Gollum. They: 1
Odo: 1
Harad. And: 1
Shipwright. There: 1
Hirluin: 1
Samwise Hamfast: 1
Gluin! Maybe: 1
Gblmud: 1
Celeborn, Lord: 1
Pimply Face: 1
Hollen: 1
Warden. If: 1
Rohirrim. Who: 1
Oldbuck: 1
Party. Hence: 1
Master Bombadil: 1
Rohan. She: 1
East Dales: 1
Golasgil: 1
Master. Go: 1
Arnen: 1
Jowyn. She: 1
Prancing: 1
Neldoreth: 1
Big Bosses: 1
Gebir: 1
Gamgee. Both: 1
Book Four: 1
Lower Halls: 1
Ringlord: 1
Wednesday. Yesterday: 1
Berhael, Conin: 1
Hardbottle: 1
Thorn: 1
Balin. Frodo: 1
Great Horn: 1
Meneldil: 1
Goldilocks: 1
Contents: 1
Singing Gold: 1
Elf. Glorfindel: 1
Enemy. And: 1
Gwaihir. And: 1
Hunter: 1
Wandering Companies: 1
Rohirrim. Let: 1
Took! Where: 1
Rivendell. Come: 1
Messenger Service: 1
White Face: 1
Morgai. And: 1
Bombur. Bombur: 1
There: 1
Frodo, Frodo: 1
Mrs: 1
Thief: 1
Bagginses. All: 1
City, Beregond: 1
Osgiliath. They: 1
Attercop: 1
As: 1
Moria. Even: 1
Hay Gate: 1
Grey Fool: 1
Uttermost: 1
No: 1
Meriadoc? Just: 1
Halfelven: 1
Orcs. If: 1
Mountain! Dreadful: 1
Sam. Bill: 1
Sancho: 1
Djagol: 1
Floating Log: 1
Deep! Go: 1
Everard Took: 1
Gandalf. Three: 1
Walda: 1
Orc. Blood: 1
Sneak? What: 1
Harvest: 1
Hirgon. Ride: 1
Rohirrim. He: 1
Precious Gollum: 1
Gollum. And: 1
Maggots: 1
Angbor, Lord: 1
Forest! But: 1
Hill Road: 1
Bundushathyr: 1
Durin, Lord: 1
Old Gondor: 1
Trolls? They: 1
Shire. Not: 1
Pippin. To: 1
One. It: 1
Mordor. That: 1
Ents. Few: 1
Mark. In: 1
Southern Mirkwood: 1
Gandalf. Two: 1
North. Yet: 1
Shire, Michel: 1
Rosie. There: 1
Entmaidens: 1
Questioner: 1
Strider. It: 1
Willie Banks: 1
Tookishness: 1
Anduin. Yet: 1
Hasufel. Before: 1
Ships: 1
Saruman? He: 1
Dark Days: 1
Mark. And: 1
Company. And: 1
Mountains. In: 1
Gandalf. Hastily: 1
South. For: 1
Master. No: 1
Younger Days: 1
Shagrat. He: 1
Ungoliant: 1
Blessed: 1
Farthing: 1
Mountain. Out: 1
Doors: 1
Rohirrim. It: 1
Dunland. The: 1
Dale, Frodo: 1
Duinhir: 1
Stone. It: 1
Wight: 1
Haysend. We: 1
Strider. There: 1
Gandalf. Though: 1
Findegil: 1
Middle Men: 1
Frodo? Let: 1
Fallen King: 1
Thain Peregrin: 1
Mordor? Or: 1
Mister Baggins: 1
Sleepless Dead: 1
Pine: 1
Thursday, Sam: 1
Frodo. Gollum: 1
Lodgings: 1
Nob. He: 1
Old Winyards: 1
Men. They: 1
Hen: 1
Log: 1
Bandobras: 1
West Marches: 1
Northlands: 1
Greenleaf: 1
Kili, Thorin: 1
Gollum. By: 1
Deep. It: 1
Grond: 1
Gandalf. Let: 1
Gaffer Gamgee: 1
Jolly: 1
Gates. It: 1
Then: 1
Bane. You: 1
Council. But: 1
Bridge. Half: 1
Houses. They: 1
Prince. And: 1
Dragons: 1
Sam, Gollum: 1
Sam. Just: 1
Seventh: 1
Shire. Have: 1
Sorcery. Then: 1
Periannath: 1
Entwash. The: 1
Stock Road: 1
Silver: 1
West, And: 1
Beren One: 1
Moon, East: 1
Great Battle: 1
September. As: 1
Arwen. To: 1
Deep! Happy: 1
Legolas. Frodo: 1
Prince. Now: 1
Thursday, September: 1
Smjagol. Orcs: 1
Third Deep: 1
Base Master: 1
Nick: 1
Bun: 1
Warm Welcome: 1
Kili! May: 1
Southward: 1
Mordor. Very: 1
Lothlurien. Believe: 1
Linhir: 1
Elves. At: 1
Thinking: 1
Rohan. On: 1
Revenge. Surely: 1
North; Roheryn: 1
River. But: 1
Chapter Five: 1
Ringlu Vale: 1
City. Now: 1
Grand: 1
Isenmouthe. It: 1
Tower. And: 1
Great. Who: 1
Road. Here: 1
William. He: 1
Paladin! Your: 1
Fangorn, Master: 1
Dori, Nori: 1
Forts: 1
One, Celebrimbor: 1
High King: 1
Galion: 1
Saruman? Is: 1
Buckland. Old: 1
Balin. That: 1
East, Aragorn: 1
Mirror. So: 1
Nine Fingers: 1
Oroml: 1
Orthanc. Then: 1
South. Once: 1
Of Lurien: 1
Balin. The: 1
Grnma! Poor: 1
Lune. Yet: 1
King, Ents: 1
Thrain King: 1
England: 1
Orcs. He: 1
Hornblowers: 1
Dimholt: 1
King. He: 1
Overlord: 1
Orcrist, Goblin: 1
Galadhrim. You: 1
Great Hall: 1
Speech. Most: 1
Oiolosslo: 1
Old World: 1
Elven Door: 1
Hammerhand. But: 1
Vorondil: 1
Green Fields: 1
Qs: 1
Longbeards: 1
Deep. The: 1
Chiefest: 1
Gollum? Small: 1
Oliphaunt. And: 1
Mr. Whitfoot: 1
Company. New: 1
Netted Stars: 1
Our Birthday: 1
Osgiliath, Citadel: 1
Arathorn, Elessar: 1
Nine. And: 1
Northern Orcs: 1
Kibil: 1
Strider. Which: 1
Kili, Bifur: 1
Great Enemy: 1
Naur: 1
Mr. Meriadoc: 1
Ithilien. On: 1
Precious? Curse: 1
The Floating: 1
Dwarves, Orald: 1
Swertings: 1
Bolg. But: 1
Lothlurien. Gimli: 1
King. And: 1
River Hoarwell: 1
Top: 1
Saruman. If: 1
Dome: 1
Thorin. He: 1
Bert. You: 1
Saradoc: 1
Great Water: 1
Carrock. There: 1
Master. Leaves: 1
Gandalf. It: 1
Hobbit, Elves: 1
Country Round: 1
Gildor Inglorion: 1
Gimli. Beside: 1
Shadow. And: 1
Annyn! Eglerio: 1
Shire: But: 1
Boromir. For: 1
Hbma. Keep: 1
Perian: 1
Bruinen. So: 1
Gorgoroth. Ahead: 1
Saruman. How: 1
Moria. Through: 1
Rohan! But: 1
Gandalf. Pop: 1
Ring. How: 1
Way: 1
Young Tom: 1
Gandalf. Poor: 1
Kindred: 1
Frja: 1
Cirion: 1
Mirkwood. And: 1
Rohan. Some: 1
Gorgoroth. Then: 1
Elessar. For: 1
Finglas: 1
Mordor. All: 1
Ham Gamgee: 1
Sea. And: 1
Friendship: 1
Herugrim: 1
Envinyatar: 1
Isen. As: 1
Fairs: 1
Gaffer. In: 1
Yes: 1
Bandobras Took: 1
Hornrock: 1
Hbma. He: 1
Ring! And: 1
Fangorn. We: 1
Peak: 1
Gandalf! Well: 1
Mordor, Sauron: 1
Three Hunters: 1
Men. And: 1
Marshal, Elfhelm: 1
Woses: 1
Burglar Bilbo: 1
Undergate: 1
Dwarf. The: 1
Sky: 1
Isengard. There: 1
Sunlending: 1
Norbury: 1
Deadmen: 1
Mountain! His: 1
Shipwright: 1
Pippin. And: 1
Puddifoots: 1
Gilrain. And: 1
Rulers: 1
Anfalas: 1
Shire. They: 1
Strider? They: 1
Elvendom: 1
Gollum Bilbo: 1
Shire. Frodo: 1
Bardings. The: 1
Thain. Before: 1
Gondor; Hirgon: 1
Elrond, Elladan: 1
Valinorean: 1
Beorn. He: 1
Inland Sea: 1
Elven Tirion: 1
Girion. From: 1
Brandywine. The: 1
Thror. So: 1
The King: 1
Aragorn. Giving: 1
Mountain Wall: 1
Treachery: 1
Rhymes: 1
Anor. You: 1
Orcs. Brm: 1
Galadriel. Elrond: 1
Rohan. But: 1
Watchwood: 1
Mountain! Let: 1
Books: 1
Elrond. The: 1
Bombadil. His: 1
Bucklebury. To: 1
Elves. But: 1
Mirkwood. Songs: 1
Map. More: 1
Tintalll Varda: 1
Goodbody: 1
King. More: 1
Bilbo. All: 1
After: 1
Mountain. So: 1
Inn, Bywater: 1
Ossir: 1
Saruman? What: 1
City. At: 1
Mauh: 1
Biter. They: 1
Little Folk: 1
Weathertop, Amon: 1
House. Will: 1
Food: 1
Ring. My: 1
Fool: 1
Enemy. Why: 1
Gondor! Gondor: 1
Drogo. Let: 1
Rushey: 1
First) Homely: 1
Mountains. Of: 1
Drogo. You: 1
We: 1
Evil Eye: 1
Bruinen. There: 1
Living Creatures: 1
East Anurien: 1
New Age: 1
Dragon. The: 1
Halfling. Or: 1
Orcses: 1
Dimrill Gate: 1
Ring. To: 1
Gandalf, Mithrandir: 1
Door. On: 1
Arkenstone! The: 1
Gimli, Gluin: 1
Rohan. Every: 1
Syl: 1
Cunning Mind: 1
Whitfoot: 1
Entwood. Did: 1
Lord Elfstone: 1
Great Barrows: 1
Gateway: 1
Orcs. Then: 1
Road. No: 1
Well: 1
Shadowfax! He: 1
Bane. Yet: 1
Lothlurien, Lurien: 1
Bush: 1
Mirkwood. There: 1
Aragorn? His: 1
Company Gandalf: 1
Captain. For: 1
Helmingas: 1
Living Death: 1
Bard. He: 1
Homely House: 1
Gollum? Do: 1
Gorgoroth. There: 1
Command. How: 1
Witch: 1
Wise. He: 1
Va: 1
Elrond. Could: 1
Book One: 1
Shire. Nonsense: 1
Book Three: 1
Ring! What: 1
Boss. Didn: 1
Elves? Is: 1
Huorns, Treebeard: 1
Northerners. They: 1
Master Legolas: 1
Sea. Of: 1
Great Place: 1
Enemy. Neither: 1
Orders: 1
Mountains; Beorn: 1
Upbourn: 1
Men. That: 1
Search: 1
Beorn. In: 1
High Court: 1
Miller: 1
Neck: 1
Nori, Bifur: 1
Shiretalk: 1
Angren: 1
Kili. Bilbo: 1
Far: 1
Fat: 1
Biggest: 1
House. Thus: 1
Mr. Took: 1
Boromir! Beyond: 1
Frodo, Lord: 1
Ring. What: 1
Out: 1
Ps: 1
Osgiliath. For: 1
Bane. Plainly: 1
Riddle: 1
Shire. Its: 1
Elrohir? Less: 1
Doorstep: 1
Finrod. We: 1
Bree. There: 1
Wise People: 1
Elendil. Now: 1
Faramir. No: 1
Eye. There: 1
North March: 1
Girion, Lord: 1
Dwarves; Olurin: 1
Doom? And: 1
Esquire: 1
Osgiliath. Now: 1
Jomer? For: 1
Last Desert: 1
Men. He: 1
Ecthelion, Lord: 1
Ohtar: 1
Fastred: 1
End. They: 1
Grimslade: 1
Mondays. And: 1
King Edrnur: 1
Boromir, Man: 1
Brandy: 1
Frodo. Come: 1
Bungo: 1
Bree Hill: 1
Mordor Frodo: 1
Sea! The: 1
Umbar! Look: 1
Hollin. Much: 1
Last Bridge: 1
Hundred: 1
Daeron: 1
Quick Post: 1
Unexpected: 1
Halflings. It: 1
Evereven: 1
Dike. Thence: 1
Holbytla. Nor: 1
Wndfara: 1
Boro: 1
